               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.024629,            0.011583,           0.0031465,             0.77229,             0.87835,             0.82776,              0.6076,             0.02331,           0.0048453,           0.0029185,           0.0073468,           0.0073468,           0.0073468
                 136,            0.024512,            0.011626,           0.0032046,             0.77496,             0.87102,             0.82645,             0.60842,            0.023262,           0.0048462,           0.0029224,            0.007327,            0.007327,            0.007327
                 137,             0.02465,            0.011578,           0.0030941,             0.77277,             0.87815,             0.82649,             0.60826,            0.023232,           0.0048461,           0.0029288,           0.0073072,           0.0073072,           0.0073072
                 138,            0.024637,            0.011524,           0.0030819,             0.77413,             0.87982,             0.82676,             0.60901,            0.023208,           0.0048448,           0.0029286,           0.0072874,           0.0072874,           0.0072874
                 139,            0.024191,            0.011257,           0.0030662,             0.77541,             0.87115,             0.82662,             0.60914,            0.023191,           0.0048419,           0.0029363,           0.0072676,           0.0072676,           0.0072676
                 140,            0.024373,            0.011487,           0.0031066,               0.775,             0.87499,             0.82802,             0.61002,            0.023175,           0.0048454,           0.0029395,           0.0072478,           0.0072478,           0.0072478
                 141,            0.024387,            0.011484,           0.0028339,             0.77407,              0.8774,             0.82766,             0.61074,            0.023175,            0.004848,            0.002945,            0.007228,            0.007228,            0.007228
                 142,            0.024223,            0.011411,           0.0028221,             0.77372,             0.87539,             0.82731,             0.61096,            0.023174,           0.0048499,           0.0029579,           0.0072082,           0.0072082,           0.0072082
                 143,            0.024132,            0.011426,           0.0030335,             0.77158,             0.87542,             0.82764,             0.61071,            0.023151,           0.0048509,           0.0029636,           0.0071884,           0.0071884,           0.0071884
                 144,            0.024249,            0.011346,           0.0029872,             0.77249,             0.87611,             0.82879,             0.61094,             0.02314,           0.0048485,           0.0029708,           0.0071686,           0.0071686,           0.0071686
                 145,            0.024333,            0.011393,           0.0029002,             0.77127,             0.87387,             0.82785,             0.61016,            0.023122,           0.0048481,           0.0029806,           0.0071488,           0.0071488,           0.0071488
                 146,            0.024422,            0.011475,            0.003034,             0.77288,             0.87386,             0.82846,             0.61057,            0.023097,           0.0048498,            0.002986,            0.007129,            0.007129,            0.007129
                 147,            0.024129,            0.011423,           0.0028171,             0.76975,             0.87766,             0.82795,             0.61066,            0.023074,           0.0048517,           0.0029944,           0.0071092,           0.0071092,           0.0071092
                 148,            0.023844,            0.011125,           0.0028243,             0.76938,             0.87679,               0.828,             0.61071,            0.023059,           0.0048523,           0.0029968,           0.0070894,           0.0070894,           0.0070894
                 149,            0.024586,            0.011588,           0.0026513,             0.77435,             0.87113,             0.82856,             0.61031,            0.023045,           0.0048513,           0.0030004,           0.0070696,           0.0070696,           0.0070696
